movie_id,title,genre,language,release_year,imdb_rating,director,revenue
1,Forgotten Empire,Sci-Fi,Korean,1984,8.2,Maria Muller,18198596.06
2,Crimson Horizon,Drama,Hindi,1984,3.8,Elena Silva,11330801.2
3,Lost Flame,Action,French,2005,2.4,Emma Nolan,2706837.59
4,Distant Empire,Animation,English,1999,6.2,Yuki Chen,12796323.71
5,Rising Legacy,Animation,Japanese,2016,2.4,Carlos Wong,8580466.5
6,Forgotten War,Crime,Mandarin,2003,4.2,Yuki Rossi,6039969.91
7,Frozen River,Fantasy,Hindi,2018,9.4,Maria Anderson,15154961.54
8,Hidden Symphony,Sci-Fi,English,2022,2.6,Elena Costa,16376149.18
9,Forgotten Truth,Crime,Spanish,2009,2.5,James Kumar,13299836.5
10,Broken Heart,Adventure,French,2023,8.2,Sofia Iyer,82460946.02
11,Burning Truth,Comedy,French,2011,2.4,Sofia Watanabe,7988058.69
12,Frozen Kingdom,Comedy,Hindi,2015,4.1,Wei Silva,70115791.61
13,Distant Truth,Adventure,Mandarin,1994,3.1,Yuki Watanabe,4705054.87
14,Frozen Flame,Comedy,English,1980,3.1,Elena Muller,6406303.04
15,Hidden Garden,Crime,Korean,1983,5.4,Elena Iyer,7912694.32
16,Frozen Echo,Action,English,1993,5.3,Maria Fernandes,2092472.97
17,Wild Empire,Animation,English,2003,6.6,James Smith,3013582.18
18,Midnight Truth,Crime,Hindi,1987,2.9,Nina Patel,6271453.67
19,Hidden Legacy,Fantasy,Hindi,1996,5.6,Yuki Anderson,19022162.18
20,Secret Truth,Comedy,Japanese,1981,7.7,Sofia Garcia,5259248.18
21,Rising Dream,Horror,German,2014,6.1,Sanjay Fernandes,12283903.05
22,Crimson Journey,Sci-Fi,Japanese,1994,3.5,Nina Muller,19792591.55
23,Midnight Symphony,Romance,English,2018,9.2,Luis Muller,85634459.37
24,Lost Legacy,Thriller,Hindi,2001,3.5,Hana Kim,9615494.85
25,Rising Kingdom,Adventure,English,2004,7.9,Carlos Wong,98106513.63
26,Forgotten Kingdom,Fantasy,Hindi,2005,7.6,James Kapoor,2584415.43
27,Hidden Flame,Documentary,Tamil,1989,6.6,Hana Wong,7040629.87
28,Endless Island,Comedy,English,2026,6.9,Sanjay Watanabe,17441271.41
29,Crimson Shadows,Romance,English,2012,3.8,Chris Fernandes,8409300.43
30,Hidden Horizon,Fantasy,Hindi,2009,7,Sanjay Silva,17569467.17
31,Hidden Island,Comedy,Spanish,1981,8.5,Yuki Kim,15993450.49
32,Eternal Empire,Documentary,French,1987,6.2,David Anderson,9675615.93
33,Last Island,Action,English,1997,2.3,Maria Anderson,605921.88
34,Golden War,Horror,French,2012,6.5,Carlos Kumar,10689044.48
35,Frozen Garden,Thriller,Japanese,1996,8.9,Carlos Patel,2476357.99
36,Burning River,Drama,Korean,2007,2.5,Sofia Chen,47800392.28
37,Rising Empire,Romance,Mandarin,2009,3.6,Maria Iyer,49303130.79
38,Lost Dream,Fantasy,Hindi,2012,5,Aiko Smith,1889270.82
39,Rising Shadows,Horror,Spanish,2008,7.3,Michael Fernandes,5944309.52
40,Golden Legacy,Thriller,Portuguese,1986,2.6,Arjun Nolan,52679250.45
41,Hidden Path,Adventure,Tamil,1996,5,Elena Anderson,14023328.06
42,Golden City,Action,Tamil,1991,5.2,James Kumar,134199111.1
43,Midnight Kingdom,Crime,Telugu,1984,4,Maria Patel,19886402.51
44,Distant City,Crime,English,2013,7.3,Maria Kapoor,3663862.05
45,Sacred Heart,Animation,German,1998,5.3,Yuki Kumar,412353.99
46,Midnight Horizon,Action,English,2012,6.1,Carlos Anderson,18696124.65
47,Last Path,Adventure,Spanish,2005,9.3,Sofia Smith,1091032026
48,Hidden Echo,Horror,Portuguese,1988,2.1,Arjun Silva,1735473.21
49,Shattered Garden,Adventure,Portuguese,2018,3.8,Sofia Nolan,3192782.15
50,Burning Shadows,Romance,Hindi,2001,9.3,Elena Fernandes,19315052.06
51,Sacred Storm,Horror,English,2001,4.9,Nina Kumar,4059552.08
52,Secret Shadows,Drama,English,1985,3.1,Chris Nolan,6027938.89
53,Lost Kingdom,Crime,Italian,1989,6.9,Hana Iyer,14427511.56
54,Frozen Empire,Romance,Japanese,2021,3.1,Sanjay Silva,16253767.37
55,Hidden Garden,Animation,Spanish,1981,8.2,Chris Rossi,885148.92
56,Rising Legacy,Sci-Fi,Tamil,2015,2.4,Raj Reddy,9811421.58
57,Silent War,Drama,Japanese,2012,8.7,James Anderson,14748927.15
58,Midnight Kingdom,Romance,English,1993,3.7,Luis Wong,1580960.48
59,Sacred Horizon,Crime,Korean,1992,2.6,Wei Fernandes,14877184.28
60,Sacred Voyage,Crime,English,2010,2.5,Arjun Chen,13530367.75
61,Sacred Garden,Romance,Hindi,2009,7.8,Elena Smith,1762792.52
62,Frozen Shadows,Romance,Hindi,2012,9.3,Luis Kumar,18335267.83
63,Crimson Kingdom,Crime,English,2013,4,Priya Watanabe,12651780.57
64,Midnight Legacy,Fantasy,Hindi,2011,8.7,Nina Iyer,121629.91
65,Frozen War,Sci-Fi,Hindi,1989,5.1,Michael Fernandes,6659921.01
66,Forgotten River,Sci-Fi,English,1992,7.3,Sofia Kumar,7888342.67
67,Wild Kingdom,Horror,Mandarin,1997,8.4,Arjun Chen,13256464.69
68,Hidden Journey,Romance,Hindi,2000,3.4,Priya Silva,166153208.1
69,Shattered Island,Animation,English,1985,2.4,Aiko Patel,2814522.05
70,Sacred Symphony,Action,Mandarin,2015,3,Nina Silva,5990548.72
71,Midnight Echo,Adventure,English,2010,6.2,Michael Chen,3275056.38
72,Crimson Garden,Documentary,Spanish,2008,8.8,Luis Silva,3888521.56
73,Golden Dream,Horror,Spanish,2000,3.8,Arjun Costa,450630.45
74,Distant Echo,Sci-Fi,Japanese,1993,4.8,David Nolan,11506901.33
75,Rising Empire,Adventure,Spanish,2020,7.9,Carlos Garcia,5006650.31
76,Shattered War,Sci-Fi,Italian,1981,3,Aiko Wong,108168385.2
77,Golden Echo,Animation,Telugu,2008,3.9,Maria Rossi,10471193.86
78,Last War,Drama,Spanish,1982,2,Wei Rossi,799955.02
79,Sacred Empire,Adventure,English,2020,5.3,Maria Chen,10512511.81
80,Wild Storm,Sci-Fi,English,2018,2,Elena Lee,924369490.8
81,Forgotten Journey,Documentary,Spanish,2015,3.9,Aiko Lee,3922598.74
82,Distant Kingdom,Romance,English,2007,8.9,Emma Wong,6794128.83
83,Distant Truth,Adventure,Hindi,1980,8,Sanjay Garcia,19398681.51
84,Sacred Storm,Thriller,Hindi,1996,7.7,Sofia Chen,109237651.3
85,Eternal Journey,Documentary,Hindi,2022,2.4,Hana Watanabe,29784508.34
86,Silent Voyage,Comedy,Hindi,2025,2.5,Michael Patel,179045054.7
87,Last Kingdom,Comedy,Hindi,1991,6.9,Sanjay Patel,13305375.78
88,Shattered Truth,Horror,Hindi,1986,2,Arjun Garcia,19112520.91
89,Last Island,Thriller,Hindi,1999,8.2,Aiko Garcia,9495607.81
90,Rising Island,Documentary,English,2003,7.5,Nina Sharma,4997860.31
