user_id,age,gender,country,subscription_plan,join_date
1,55,Male,France,Free,2020-07-25
2,62,Male,France,Basic,2025-08-15
3,42,Male,India,Free,2025-10-01
4,16,Female,Germany,Standard,2023-09-15
5,29,Male,India,Premium,2020-10-15
6,59,Male,India,Free,2022-10-10
7,21,Male,India,Standard,2025-10-08
8,31,Female,France,Basic,2023-03-31
9,20,Female,Japan,Basic,2023-01-21
10,51,Male,India,Standard,2022-03-31
11,20,Female,Singapore,Free,2024-02-01
12,55,Female,India,Free,2021-12-29
13,59,Female,Australia,Basic,2020-12-01
14,49,Female,India,Free,2026-03-06
15,59,Female,Germany,Standard,2019-08-18
16,29,Female,Brazil,Basic,2019-09-29
17,28,Female,Canada,Standard,2021-05-20
18,56,Female,UAE,Basic,2020-08-08
19,31,Male,France,Basic,2025-07-22
20,42,Female,United States,Free,2020-07-20
21,47,Female,France,Premium,2020-09-18
22,55,Male,Germany,Basic,2023-04-26
23,39,Female,United States,Free,2025-03-16
24,70,Female,Germany,Free,2025-01-08
25,63,Male,Australia,Free,2023-11-16
26,25,Male,Mexico,Premium,2021-12-14
27,47,Female,United Kingdom,Free,2026-01-05
28,34,Female,United Kingdom,Free,2023-03-12
29,63,Male,Mexico,Premium,2019-01-03
30,53,Male,India,Premium,2022-06-13
31,30,Male,Singapore,Premium,2019-12-17
32,61,Female,India,Standard,2020-05-30
33,23,Female,Mexico,Free,2024-12-01
34,70,Female,Italy,Premium,2021-04-03
35,60,Male,Netherlands,Basic,2023-11-30
36,48,Male,India,Free,2019-03-28
37,52,Female,Canada,Free,2026-01-28
38,18,Male,UAE,Premium,2019-10-18
39,47,Male,Australia,Free,2020-06-25
40,61,Female,Canada,Basic,2024-04-21
41,66,Male,India,Standard,2022-12-22
42,42,Male,Singapore,Free,2026-04-30
43,56,Male,United States,Free,2020-03-23
44,30,Male,United Kingdom,Free,2021-01-21
45,32,Male,Singapore,Free,2025-03-04
46,21,Male,Netherlands,Standard,2020-01-18
47,63,Female,India,Basic,2021-05-25
48,70,Male,India,Free,2023-05-19
49,31,Female,Brazil,Free,2025-03-26
50,57,Female,India,Free,2019-08-28
51,52,Female,India,Free,2019-07-25
52,52,Male,South Africa,Basic,2019-08-21
53,47,Male,India,Basic,2021-08-21
54,40,Male,UAE,Free,2025-09-01
55,17,Female,United States,Basic,2024-11-11
56,35,Female,India,Standard,2021-09-04
57,31,Male,Germany,Free,2022-07-19
58,63,Female,India,Basic,2025-04-25
59,21,Male,India,Free,2022-11-30
60,19,Female,United States,Free,2025-02-03
61,60,Male,Netherlands,Standard,2024-12-06
62,15,Female,United Kingdom,Premium,2020-02-29
63,23,Male,UAE,Standard,2020-09-28
64,32,Male,India,Free,2026-02-10
65,69,Male,United Kingdom,Premium,2019-07-28
66,20,Female,Japan,Free,2022-09-28
67,64,Male,Italy,Free,2023-12-15
68,50,Female,Canada,Free,2020-09-02
69,49,Male,United States,Basic,2023-10-27
70,23,Male,United States,Premium,2019-06-13
71,37,Male,India,Free,2025-04-12
72,70,Male,Australia,Free,2021-08-27
73,70,Male,Brazil,Free,2023-08-16
74,16,Male,South Africa,Standard,2023-08-14
75,66,Female,France,Free,2020-10-14
76,65,Female,United States,Free,2024-04-11
77,29,Male,South Africa,Free,2021-07-21
78,29,Male,India,Free,2019-10-12
79,64,Male,Australia,Free,2025-01-05
80,36,Female,India,Premium,2021-01-01
81,52,Other,India,Free,2023-11-15
82,37,Female,United States,Basic,2024-09-25
83,22,Male,Canada,Free,2023-11-22
84,15,Female,Brazil,Standard,2021-03-18
85,38,Male,Mexico,Premium,2025-12-27
86,35,Female,India,Premium,2024-09-08
87,34,Female,United States,Standard,2025-03-20
88,23,Male,Australia,Free,2020-12-13
89,54,Female,United States,Standard,2022-05-29
90,33,Male,Brazil,Basic,2022-08-12
91,44,Male,Germany,Basic,2020-11-26
92,57,Male,United Kingdom,Basic,2022-10-04
93,20,Female,France,Standard,2021-07-09
94,66,Male,India,Free,2024-04-30
95,54,Female,India,Basic,2026-01-23
96,51,Male,Germany,Basic,2021-09-26
97,24,Female,India,Standard,2020-03-12
98,64,Male,India,Premium,2024-10-22
99,44,Male,India,Standard,2024-02-13
100,23,Female,Australia,Premium,2025-09-04
101,35,Female,UAE,Basic,2024-08-29
102,42,Female,United Kingdom,Premium,2024-04-28
103,43,Male,India,Basic,2024-11-05
104,46,Female,India,Free,2022-03-16
105,30,Male,United States,Basic,2020-07-20
106,24,Male,Germany,Standard,2019-09-21
107,41,Male,United Kingdom,Basic,2021-04-27
108,68,Male,UAE,Basic,2019-03-22
109,69,Female,Canada,Basic,2022-12-11
110,34,Female,Singapore,Premium,2023-09-13
111,49,Female,United Kingdom,Basic,2021-06-22
112,46,Male,United States,Free,2022-10-08
113,57,Female,United States,Free,2024-03-29
114,23,Other,United Kingdom,Premium,2025-08-21
115,51,Female,India,Basic,2024-03-06
116,26,Male,United States,Free,2022-08-31
117,36,Female,United States,Standard,2023-09-23
118,31,Female,United States,Standard,2019-08-02
119,37,Male,India,Premium,2019-06-14
120,63,Male,India,Standard,2025-12-19
121,24,Male,United States,Free,2021-06-11
122,44,Female,Brazil,Free,2025-10-23
123,62,Female,Brazil,Free,2022-06-28
124,21,Female,South Africa,Basic,2023-03-18
125,40,Female,India,Basic,2026-01-13
126,30,Male,Brazil,Premium,2025-09-25
127,66,Male,Netherlands,Standard,2022-11-23
128,49,Male,United States,Basic,2022-10-29
129,15,Female,Japan,Free,2023-01-23
130,55,Female,United States,Free,2020-12-22
131,61,Female,Australia,Basic,2025-01-13
132,64,Female,United States,Standard,2022-01-04
133,35,Female,Japan,Free,2024-01-21
134,30,Female,Canada,Standard,2022-10-09
135,16,Female,United States,Basic,2022-12-24
136,66,Male,India,Basic,2022-02-05
137,50,Male,Mexico,Free,2023-07-23
138,46,Female,India,Basic,2024-07-03
139,43,Female,India,Free,2021-09-23
140,34,Female,United States,Basic,2022-11-09
141,42,Other,United Kingdom,Free,2024-02-02
142,32,Male,India,Standard,2022-07-16
143,22,Female,Mexico,Standard,2021-02-23
144,28,Female,India,Basic,2024-11-18
145,53,Male,India,Free,2021-07-20
146,38,Male,India,Basic,2022-01-28
147,17,Other,United Kingdom,Standard,2020-06-01
148,55,Female,United Kingdom,Premium,2025-06-09
149,33,Male,United States,Free,2019-07-30
150,31,Female,United States,Standard,2023-06-30
151,46,Male,Australia,Free,2020-09-03
152,66,Female,United States,Premium,2020-04-30
153,50,Female,Canada,Standard,2021-07-13
154,64,Female,United States,Basic,2025-08-07
155,42,Male,Australia,Basic,2020-02-11
156,63,Male,India,Standard,2020-10-05
157,30,Male,India,Free,2024-01-20
158,59,Female,India,Free,2022-03-04
159,59,Female,India,Free,2021-12-19
160,65,Female,Canada,Standard,2021-03-21
161,42,Male,India,Free,2021-12-24
162,67,Male,India,Standard,2025-09-03
163,62,Female,South Africa,Basic,2024-04-03
164,59,Male,United States,Free,2025-01-20
165,46,Male,Canada,Premium,2022-08-13
166,53,Male,India,Premium,2025-06-14
167,52,Female,Netherlands,Standard,2022-01-08
168,51,Male,France,Basic,2026-04-22
169,43,Female,India,Basic,2026-02-13
170,67,Female,India,Free,2022-09-27
171,35,Female,Singapore,Free,2024-07-22
172,33,Female,United States,Standard,2019-05-31
173,44,Male,India,Free,2023-07-14
174,70,Female,Netherlands,Standard,2025-01-31
175,44,Male,India,Free,2024-08-03
176,55,Male,India,Free,2020-06-20
177,33,Male,Germany,Free,2026-01-24
178,53,Female,Germany,Free,2019-02-26
179,50,Male,India,Standard,2020-04-09
180,44,Female,Australia,Free,2022-04-10
181,47,Female,United States,Basic,2024-04-18
182,30,Male,India,Free,2025-09-21
183,47,Female,India,Free,2023-08-27
184,36,Female,United Kingdom,Standard,2022-03-04
185,61,Male,Canada,Premium,2024-06-28
186,70,Male,United Kingdom,Free,2025-03-10
187,63,Female,United States,Free,2021-02-11
188,59,Male,United States,Premium,2023-08-10
189,17,Male,United States,Premium,2023-04-11
190,39,Other,Brazil,Standard,2020-09-15
191,46,Other,India,Premium,2022-09-21
192,70,Male,Japan,Free,2024-02-15
193,15,Female,United States,Standard,2020-09-24
194,19,Male,Italy,Free,2023-06-17
195,56,Male,United States,Standard,2024-12-25
196,39,Female,Australia,Premium,2024-06-21
197,70,Female,Canada,Free,2022-03-23
198,29,Female,United States,Free,2026-02-08
199,60,Female,United States,Standard,2019-04-29
200,17,Male,India,Free,2023-10-31
201,24,Male,United States,Standard,2021-01-07
202,25,Male,Canada,Free,2021-09-13
203,46,Female,India,Basic,2021-11-06
204,44,Male,India,Standard,2022-03-24
205,58,Female,India,Premium,2025-08-03
206,34,Female,United States,Free,2022-05-22
207,27,Other,Singapore,Free,2023-04-12
208,51,Male,India,Standard,2019-03-31
209,68,Female,India,Basic,2019-07-20
210,53,Female,Japan,Premium,2021-07-31
211,53,Female,India,Free,2021-10-23
212,58,Female,Brazil,Standard,2020-07-14
213,55,Male,Australia,Free,2023-12-11
214,17,Female,France,Free,2022-04-23
215,35,Female,India,Free,2025-01-18
216,38,Female,South Africa,Standard,2021-11-18
217,67,Female,Italy,Free,2022-10-19
218,66,Male,Italy,Free,2021-07-13
219,70,Female,Germany,Free,2025-04-01
220,38,Male,United States,Free,2020-05-21
221,44,Male,France,Free,2023-04-10
222,67,Female,United States,Standard,2024-04-15
223,16,Female,Mexico,Free,2025-11-03
224,29,Female,Australia,Basic,2022-05-22
225,56,Male,India,Premium,2022-05-31
226,46,Male,India,Basic,2023-05-11
227,44,Male,Mexico,Standard,2025-01-21
228,41,Female,France,Premium,2026-05-06
229,21,Female,Canada,Premium,2022-02-19
230,17,Female,India,Basic,2021-08-25
231,69,Male,Netherlands,Free,2026-03-26
232,37,Male,India,Premium,2024-02-06
233,20,Female,Australia,Basic,2019-03-29
234,18,Female,India,Free,2025-05-01
235,28,Male,Brazil,Free,2021-06-03
236,67,Female,United States,Free,2025-09-07
237,15,Male,Netherlands,Premium,2025-01-21
238,31,Female,India,Premium,2020-06-23
239,15,Male,Brazil,Basic,2019-03-06
240,26,Male,India,Basic,2020-04-10
241,62,Male,United States,Free,2025-08-28
242,21,Male,India,Basic,2026-05-22
243,48,Male,Australia,Free,2024-05-15
244,69,Male,Germany,Basic,2023-12-22
245,19,Female,United States,Free,2020-05-31
246,32,Female,Canada,Standard,2023-04-10
247,53,Female,United States,Basic,2020-02-11
248,65,Female,Singapore,Standard,2025-03-08
249,61,Female,United States,Premium,2023-08-22
250,36,Female,United States,Standard,2022-07-04
251,42,Male,India,Premium,2024-04-26
252,19,Male,India,Basic,2023-03-07
253,66,Male,India,Premium,2025-04-19
254,36,Female,United States,Premium,2023-09-29
255,70,Female,India,Free,2022-07-03
256,37,Male,United Kingdom,Free,2024-05-29
257,29,Female,United States,Basic,2020-04-15
258,63,Male,India,Basic,2025-04-16
259,64,Female,Canada,Basic,2019-04-18
260,53,Female,Japan,Free,2021-01-08
261,32,Female,United States,Free,2019-01-26
262,26,Female,Canada,Basic,2020-08-04
263,62,Female,India,Standard,2021-05-31
264,39,Male,United States,Free,2022-08-21
265,64,Female,Canada,Premium,2020-09-29
266,25,Female,India,Free,2023-12-20
267,57,Male,Canada,Basic,2021-06-01
268,63,Female,United States,Free,2025-08-26
269,46,Female,United States,Free,2025-09-20
270,18,Male,United States,Free,2020-07-16
271,63,Male,United States,Free,2023-10-30
272,26,Male,United Kingdom,Free,2025-04-07
273,68,Female,United States,Free,2019-06-23
274,42,Male,South Africa,Premium,2025-06-16
275,42,Female,Germany,Basic,2020-04-16
276,40,Male,United States,Standard,2025-12-06
277,44,Female,South Africa,Free,2020-03-09
278,30,Male,United States,Free,2022-06-24
279,62,Male,United States,Free,2024-09-21
280,55,Male,United Kingdom,Premium,2022-12-02
281,37,Female,Japan,Standard,2021-08-25
282,21,Male,India,Basic,2026-05-08
283,19,Male,Brazil,Basic,2025-04-28
284,63,Female,Germany,Premium,2026-03-18
285,55,Other,United States,Premium,2022-07-18
286,24,Male,United States,Basic,2022-01-30
287,52,Male,United Kingdom,Free,2024-01-26
288,17,Male,Japan,Free,2020-01-05
289,54,Female,United States,Basic,2019-06-18
290,43,Female,Canada,Free,2025-10-14
291,45,Female,Mexico,Basic,2022-11-07
292,60,Male,Australia,Free,2023-11-29
293,43,Female,Canada,Free,2022-03-04
294,39,Male,United States,Basic,2026-01-28
295,56,Male,United States,Basic,2023-05-03
296,33,Male,Singapore,Premium,2025-10-04
297,70,Male,India,Standard,2022-12-03
298,34,Other,Germany,Free,2025-09-03
299,60,Female,United States,Free,2022-09-07
300,67,Male,Germany,Premium,2024-11-26
301,20,Female,United States,Free,2023-01-25
302,34,Male,India,Premium,2024-06-14
303,27,Male,India,Free,2020-02-19
304,47,Female,Japan,Premium,2019-06-04
305,57,Male,Brazil,Free,2023-03-24
306,24,Male,Japan,Standard,2020-11-09
307,61,Male,United States,Standard,2021-08-30
308,43,Female,France,Standard,2021-08-16
309,49,Male,Italy,Standard,2021-03-05
310,38,Female,Canada,Basic,2022-02-28
311,64,Male,United Kingdom,Premium,2021-03-28
312,66,Female,Singapore,Free,2024-05-22
313,70,Male,Mexico,Standard,2024-10-14
314,69,Male,India,Free,2024-01-15
315,47,Male,United States,Premium,2021-06-28
316,67,Male,United States,Free,2019-08-07
317,40,Female,India,Premium,2023-03-16
318,29,Male,Mexico,Standard,2026-04-16
319,36,Female,India,Free,2024-04-19
320,59,Female,France,Basic,2025-11-25
321,15,Female,India,Free,2020-09-04
322,50,Female,Canada,Basic,2022-03-26
323,30,Male,India,Basic,2025-12-26
324,44,Male,Japan,Basic,2025-01-04
325,16,Female,Canada,Standard,2022-04-08
326,42,Male,United States,Basic,2021-02-06
