watch_id,user_id,movie_id,watch_date,watch_time_minutes,completion_percentage,liked,recommendation_score
1,2703,6849,2025-06-12,39,42.38,0,19.75
2,7777,8397,2026-06-04,41,51,0,20.88
3,9591,7016,2021-01-25,12,15.35,0,13.09
4,7158,6665,2025-08-11,47,44.74,0,30.72
5,6037,381,2025-01-29,31,74.36,1,73.17
6,7425,2640,2026-05-22,89,73.12,1,57.61
7,609,7700,2026-04-13,17,24.25,1,43.93
8,9516,1163,2021-10-25,92,56.45,0,27.89
9,2395,8779,2025-11-10,40,29.91,0,14.31
10,7938,6334,2025-01-31,2,3.66,1,26.52
11,8127,47,2026-06-27,14,7.94,0,0
12,9977,5221,2025-05-05,12,18.89,0,18.01
13,5446,5679,2025-11-10,16,25.33,1,41.47
14,7025,6142,2022-08-22,105,68.65,0,50.36
15,6669,2673,2026-02-05,64,59.46,1,53.19
16,4051,4029,2026-04-28,75,56.62,0,39.45
17,7917,941,2025-04-09,5,6.17,0,0
18,4073,2796,2023-12-21,8,7.88,0,0
19,2478,7848,2022-06-19,40,25.97,0,15.16
20,3475,5993,2025-04-06,153,88.26,0,52.65
21,7813,5046,2022-07-11,49,53.9,1,56.76
22,6265,2063,2024-09-08,28,27.18,0,23.34
23,9574,6900,2024-12-18,38,68.63,1,53.07
24,1540,3059,2022-10-13,36,64.53,1,51.1
25,4610,2074,2023-04-13,56,54.33,1,60.36
26,2722,2975,2026-02-21,61,85.89,1,72.53
27,757,9895,2026-04-29,17,50.98,0,20.74
28,7601,1041,2025-04-10,49,76.63,0,40.64
29,9916,5139,2026-01-27,15,25.23,1,43.15
30,4834,8244,2026-05-10,43,94.87,1,68.12
31,9745,5308,2025-01-22,57,31.71,0,20.24
32,1045,5337,2022-04-04,37,36.17,0,20.11
33,1247,1202,2026-02-21,13,51,0,34.71
34,7715,8478,2025-10-05,48,39.55,1,34.23
35,7110,689,2022-09-21,48,28.28,0,21.44
36,7471,3874,2025-10-30,56,39.16,1,51.79
37,1400,614,2025-11-07,21,18.11,0,18.68
38,7369,9923,2024-04-14,37,25.29,0,17.47
39,8590,105,2024-09-08,32,31.95,0,23.5
40,1486,9065,2026-04-19,9,8.87,0,2.83
41,7576,1774,2025-05-13,51,70.69,0,39.85
42,9531,3094,2023-03-31,2,9.12,0,0.56
43,2514,8308,2024-07-23,22,24.6,0,7.9
44,6434,7651,2024-03-08,78,44.25,0,29.94
45,6302,4464,2025-10-10,15,19.66,1,38
46,6025,312,2020-01-25,15,50.62,1,49.2
47,7367,3936,2021-01-16,54,94.21,1,72.71
48,7441,6072,2020-08-18,20,37.63,0,30.82
49,7081,8674,2026-06-02,4,5.87,0,11.17
50,4003,3689,2025-04-26,136,80.44,0,55.94
51,289,9537,2020-04-12,6,8.96,1,25.32
52,8628,9938,2026-02-24,87,62.41,0,40.97
53,2502,4420,2026-04-25,35,35.96,0,11.76
54,1164,1109,2021-03-20,35,51.66,1,48.04
55,2656,609,2026-06-05,61,50.01,1,42.09
56,5876,8824,2025-05-03,29,41.43,0,25.35
57,1284,5319,2025-02-05,7,22.16,0,15.43
58,2853,345,2025-02-01,53,37.48,1,49.51
59,309,4581,2024-12-25,12,6.51,0,12.08
60,5087,6393,2025-01-24,106,94.24,1,73.58
61,4345,9949,2021-07-11,46,75.81,1,74.98
62,8201,6760,2021-09-23,35,23.41,0,19.56
63,5937,1357,2023-06-21,27,41.15,1,48.13
64,5935,9387,2026-05-20,127,99.42,0,64.76
65,3455,1754,2024-01-13,142,92.84,1,85.53
66,4852,2013,2024-05-16,32,24.76,0,14.15
67,8106,3126,2026-04-28,15,22.01,0,10.77
68,8022,7819,2024-06-19,7,5.01,0,8.79
69,5507,9609,2026-04-30,44,80.47,0,58.15
70,6175,2332,2023-12-28,7,4.24,0,9.19
71,7502,3227,2025-03-22,38,23.5,0,13.76
72,901,444,2025-09-01,49,91.72,1,74.26
73,6381,9218,2024-07-11,17,45.35,0,32.24
74,6143,4103,2025-11-25,56,79.5,1,64.36
75,1266,5046,2026-06-28,36,63.73,0,46.94
76,1708,4847,2025-08-11,16,22.6,1,38.98
77,8114,3570,2024-09-02,72,68.95,0,41.82
78,151,3167,2022-04-03,25,29.09,0,15.73
79,2020,9861,2025-10-22,41,51.59,0,29.83
80,8203,8807,2025-05-25,10,38.02,0,20.13
81,5676,6584,2026-05-06,61,44.93,0,28.68
82,7195,3809,2026-01-06,116,85.37,0,56.72
83,9553,1422,2023-09-01,31,49.52,1,45.13
84,5380,4904,2022-11-13,131,96.49,1,70.93
85,2590,2509,2022-07-26,34,55.53,1,45.63
86,6640,2004,2024-12-11,15,21.11,0,4.37
87,3974,3598,2026-04-25,47,57.23,1,55.87
88,8527,149,2025-03-03,31,30.96,0,22.32
89,6845,563,2026-06-04,62,50.34,0,31.8
90,2985,622,2026-02-10,8,8.9,0,9.73
91,8694,2687,2024-11-23,50,34.75,0,18.64
92,4801,876,2022-02-18,13,29.44,0,24.08
93,2261,2448,2023-06-28,15,31.53,1,42.46
94,3795,804,2026-01-19,96,74.83,1,57.02
95,7760,3572,2025-06-24,23,72.84,1,59.79
96,5409,7126,2025-08-01,19,77.27,1,60.37
97,520,3567,2023-07-30,18,17.37,1,35.89
98,7377,4075,2024-10-02,62,53.32,1,56.01
99,2976,6041,2025-11-23,17,15.19,0,16.04
100,2389,4715,2025-02-26,72,88.02,1,68.89
101,9173,6223,2022-07-10,20,72.43,1,58.92
102,4375,3472,2026-06-15,78,98.46,1,86.52
103,3445,6177,2022-03-16,76,50.43,1,43.59
104,7055,6239,2025-07-11,49,92.93,1,66.73
105,66,1517,2023-09-02,65,45.98,1,50.32
106,1824,2894,2023-10-23,79,58.71,0,31.05
107,6419,9079,2025-10-01,6,28.65,0,23.89
108,4214,7591,2025-07-17,79,90.85,0,47.21
109,5653,5774,2025-08-12,27,63.58,1,63.82
110,60,5578,2025-03-19,19,17.52,0,10.6
111,692,477,2023-09-27,53,33.16,1,32.46
112,5284,2768,2025-12-15,34,76.32,1,70.43
113,6756,4142,2025-11-08,27,22.44,0,19.36
114,4856,673,2026-04-19,24,30.61,1,37.03
115,3103,1373,2025-08-18,31,46.63,1,50.29
116,823,6239,2026-04-20,15,9.39,0,13.82
117,2735,8992,2025-02-18,14,62.01,0,27.83
118,5073,8537,2024-05-27,14,72.45,1,54.72
119,7221,1475,2026-01-09,72,41.34,0,30.56
120,8004,4346,2023-06-11,44,57.01,1,62.75
121,2331,2614,2024-06-20,106,65.72,1,56.48
122,8804,1902,2025-08-27,18,53.79,0,35.1
123,3937,7539,2026-02-03,72,47.79,0,31.83
124,7753,4581,2026-05-07,34,20.29,0,14.49
125,7920,8755,2025-10-20,66,75.5,1,58.89
126,8861,8653,2026-03-31,7,10.38,0,11.23
127,6939,9778,2025-01-29,22,25.6,1,37.46
128,1897,4803,2024-09-05,70,96.84,0,51.51
129,184,8364,2026-06-27,45,55.87,0,37.49
130,6500,4277,2026-04-01,10,43.69,0,35.58
131,6846,3227,2022-03-06,113,93.22,1,77.66
132,3785,978,2026-01-16,28,25.94,0,15.84
133,4321,2631,2024-04-24,40,86.51,1,77.84
134,3712,2804,2026-04-05,31,18.1,0,19.24
135,9908,1384,2024-06-22,137,95.71,0,58.79
